OBJECTID,RouteID,FromARMeasure,ToARMeasure,NHS_TYPE,GlobalID,Shape_Length
969,CC_CND_PORT CHICAGO HWY_S,0,0.7081486,M21PA,{9D5F8027-1840-4F35-BAA6-FB13BA5C4940},1447.77585522716
970,CC_CND_SUNSET AVE_P,0,0.097975,M21PA,{827796AF-46A5-4E16-BDDF-D5921966E52E},200.130147916011
971,CC_CND_SUTTER ST_P,0,0.1727476,M21PA,{8194A8A1-D70E-40BE-9503-265FBB2B6153},352.837786629448
972,CC_CO_BRENTWOOD BLVD_P,0,6.396113,M21PA,{0B9465AD-2298-4142-81AA-AF0F60D2998F},13062.1539488833
973,CC_CO_BRENTWOOD BLVD_S,0,0.4509311,M21PA,{35301837-0663-43E6-81B4-1CB5A8D50DE4},921.51692294317
974,CC_CO_BRENTWOOD BLVD_S,0.4519311,0.641661,M21PA,{FDDBBD97-9A0A-4F29-A0E3-814C2738E1F6},389.821159752105
975,CC_CO_CROCKETT BLVD_P,0,1.943122,M21PA,{AD606990-9793-42CD-A331-2B305698ADBB},3974.22250383459
976,CC_CO_CUMMINGS SKWY_P,0,4.1209875,M21PA,{839E3A9A-FB3F-405D-8141-6F138BF561A3},8426.78614126526
977,CC_CO_HAPPY VALLEY RD_P,3.9211454,4.1322291,M21PA,{72A182D5-8947-4549-AD1C-4B0C26CF0B8E},431.032857367098
978,CC_CO_PARKER AVE_P,0,0.7599168,M21PA,{9D4EE315-4937-4B66-855D-0244E40EE502},1554.72967296324
979,CC_CO_PARKER AVE_S,0,0.591013,M21PA,{F501A8FC-EA0B-4F91-B607-D2B37155FB28},1209.18675433603
980,CC_CO_POMONA ST_P,0.2106277,0.5984637,M21PA,{2622364F-35F3-4E54-A843-8A95C6FB6166},792.880204738796
981,CC_CO_SOMERSVILLE RD_P,3.180598,4.4940517,M21PA,{3E14CCC6-EA9C-4308-9C05-016F5A80F2F7},2685.11614613654
982,CC_CO_SOMERSVILLE RD_S,0.7019375,1.6265362,M21PA,{43979D9F-FDCF-4684-92E4-E5A26CCB03DB},1892.0806841543
983,CC_CO_STONE VALLEY RD_P,0,3.0925756,M21PA,{E3B67520-272E-48EE-AE7A-88BBEFBEACF9},6305.47139931759
984,CC_CO_STONE VALLEY RD_S,0.2207484,0.6265098,M21PA,{4869619F-C22F-437F-9A4B-69E9B16B098D},829.242272354478
985,CC_CO_STONE VALLEY RD_S,0.1203508,0.2197484,M21PA,{697B5F47-41BD-4683-B479-38EA0B3F2F75},204.735605838865
986,CC_CO_STONE VALLEY RD_S,0,0.1193508,M21PA,{4F330605-9E04-454E-85D7-49D8042E977E},243.369055704255
987,CC_CO_TAYLOR BLVD_P,0,4.2595539,M21PA,{B654667F-A5EB-47BB-8BD3-E837107AC350},8700.84845911989
988,CC_CO_TAYLOR BLVD_S,0,4.2008604,M21PA,{D7DBCF1B-D6D3-444A-BB8B-E07F72A76524},8581.02164815344
989,CC_CO_TREAT BLVD_P,0,4.8339372,M21PA,{9D658992-EF4B-4021-8F2F-E4124868DB79},9871.29288663706
990,CC_CO_TREAT BLVD_S,0,4.7968822,M21PA,{80355573-7B97-4E43-8FB8-2B9468BAD077},9795.65464999875
991,CC_CYTN_MARSH CREEK RD_P,0,1.9890786,M21PA,{CE621290-DAB3-4049-919F-715ED9293533},4061.81863899838
992,CC_CYTN_MARSH CREEK RD_S,0,0.3914484,M21PA,{7A568820-5255-489E-8AAD-5DB0689A8075},799.581811322143
993,CC_CYTN_MARSH CREEK RD_S,0.3924484,1.1887671,M21PA,{9B58CA1E-B969-432C-BF40-56D3A50CFA22},1628.10743927188
994,CC_DNVL_CAMINO TASSAJARA_P,1.2408451,10.6848975,M21PA,{D55B0AF2-6BA1-4CD7-BCF8-F222D5591C68},19243.6479037442
995,CC_DNVL_CAMINO TASSAJARA_S,0,5.2629054,M21PA,{DDDDCD55-5F85-43C5-81C3-25171869F686},11056.6722764414
996,CC_DNVL_SYCAMORE VALLEY RD W_P,0.3303026,1.7721179,M21PA,{2D61512E-CF8E-4F52-B95D-C2573B78EFA7},2938.37302691277
997,CC_DNVL_SYCAMORE VALLEY RD W_S,0,1.3234374,M21PA,{9030869A-1C89-4C1F-BEB0-FBF22FD2D5D2},2697.16281006339
998,CC_ECR_FAIRMOUNT AVE_P,0,0.7397663,M21PA,{74B23896-27BC-4123-9623-D81310E5C549},1509.46028343711
999,CC_ECR_FAIRMOUNT AVE_S,0,0.059098,M21PA,{B733A1DB-86B1-4A1B-9451-16FBF412B5B3},120.570006839486
1000,CC_ECR_FAIRMOUNT AVE_S,0.060098,0.1778992,M21PA,{DF13C5FF-ABEA-46BA-BD27-D0CD5174FA65},242.415895390074
1001,CC_ECR_SAN PABLO AVE_P,0,10.0225725,M21PA,{C5226A02-C9FC-4D3D-BD3A-1571F2E86A1D},20482.8652394276
1002,CC_ECR_SAN PABLO AVE_S,4.8412333,5.5940726,M21PA,{FD1EB3B6-6A83-460F-A236-95C1590841D7},1541.73775766494
1003,CC_ECR_SAN PABLO AVE_S,2.2786249,4.8402333,M21PA,{5B8E6A54-F5DC-41CF-978B-77E4F8DDC05B},5236.51472848696
1004,CC_ECR_SAN PABLO AVE_S,0.3350182,2.2776249,M21PA,{98C9300B-3D82-4D01-8B85-751433E16FEB},3971.58134155324
1005,CC_ECR_SAN PABLO AVE_S,0,0.3340182,M21PA,{D9CB70BD-030B-484B-920C-2D1403D3C321},682.243297259004
1006,CC_HER_WILLOW AVE_P,1.6973355,2.0693749,M21PA,{A49DF2A0-E0C3-4018-B70A-75CB6DC3D2F9},760.913699440448
1007,CC_LFYT_1ST ST_P,0.3075875,0.5372939,M21PA,{7EA372C5-ACBB-4767-8526-1849366B1BE9},470.727219022187
1008,CC_LFYT_ACALANES RD_P,0.7745411,0.9950591,M21PA,{205BF9FA-3B2B-4310-B333-19C6AB8BDA12},450.299776798019
1009,CC_LFYT_DEER HILL RD_P,0,1.7553027,M21PA,{C38E535D-4BFB-43B2-9E18-D5F6640BEA89},3581.54688517886
1010,CC_LFYT_DEER HILL RD_S,0,0.4886993,M21PA,{3A6D93B8-0C43-4C9B-B0F5-B66631864CAF},997.016641909933
1011,CC_LFYT_MT DIABLO BLVD_P,0,3.3778293,M21PA,{BC3922AB-7A52-44C1-851E-4164189240C8},6891.14271453283
1012,CC_LFYT_MT DIABLO BLVD_S,0,2.5332421,M21PA,{FB61D1BA-37BC-4E50-AB4E-FA2F9D4A471C},5167.94189225673
1013,CC_LFYT_MT DIABLO BLVD_S,2.5342421,2.9509117,M21PA,{D15D6556-80A0-4F65-B0E1-053439C7C179},852.142065477864
1014,CC_LFYT_OAK HILL RD_P,0,0.2539451,M21PA,{8DDDF07F-0B5F-4725-BD37-2F3C28651697},518.470619611567
1015,CC_LFYT_PLEASANT HILL RD_P,0.819214,3.3347444,M21PA,{181A42E6-FD87-4742-938E-8037DF4AC373},5136.65369412132
1016,CC_LFYT_PLEASANT HILL RD_S,0.8200532,2.7827914,M21PA,{AC33F624-1B05-4D55-B42A-E71D6FF00AA3},4008.28342068375
1017,CC_MTZ_ALHAMBRA AVE_P,3.2620644,5.3065147,IC,{4C374A81-7EF2-4F5A-ABEC-C1F7ADFA88FA},4180.5896125152
1018,CC_MTZ_ALHAMBRA AVE_S,1.2575524,2.1122011,IC,{6FB9C141-F9E3-45BC-875B-4DF792051E96},1749.86204897764
1019,CC_MTZ_BERRELLESSA ST_P,0,0.8341522,M21PA,{C00B54B2-089B-484E-93E1-F27FF6815856},1705.53983561075
1020,CC_MTZ_ESCOBAR ST_P,0.19251,0.8761573,M21PA,{87071D24-527C-4A8D-A778-6757916ECC1C},1397.44623180243
1021,CC_MTZ_MARINA VISTA AVE_P,0.1592105,0.2066506,M21PA,{9FCDFC71-59D6-481A-BB97-A8E461237047},96.9764638450175
1022,CC_MTZ_MARINA VISTA AVE_P,0.2518487,1.8949347,M21PA,{AA649403-EE42-491F-BEBC-5309B05B1AAC},3358.30805834565
1023,CC_MTZ_MARINA VISTA AVE_P,0.2066506,0.2518487,IC,{6B9A74CB-E7F0-4957-958B-116E7A98614A},92.3949043381423
1024,CC_MTZ_MARINA VISTA AVE_S,0,0.7372908,M21PA,{755E40F8-29F6-4E7C-8236-F32617579897},1507.03797245303
1025,CC_ORIN_CAMINO PABLO_P,0,2.3646198,M21PA,{2887F288-8000-4ADE-AF92-2A56396CBEDB},4825.72951423585
1026,CC_ORIN_CAMINO PABLO_S,0.1863701,0.5986051,M21PA,{9D0E44D2-31B6-48DC-8E2A-628657AF5CAF},843.041648595103
1027,CC_ORIN_MORAGA WAY_P,2.2142343,4.556999,M21PA,{A1D6B7E3-2C7B-4B1C-9EB0-6F280962A052},4779.82437910337
1028,CC_PIT_BUCHANAN RD_P,0,2.8507793,M21PA,{51DCEF08-8EE5-4C17-B309-F0DEEC18B6C6},5823.49598363957
1029,CC_PIT_BUCHANAN RD_S,0,0.177319,M21PA,{A0787AA9-0FCD-42B0-A7CB-61553D1F15FA},362.224796976715
1030,CC_PIT_E 10TH ST_P,0,0.4476878,M21PA,{7575A66D-ADA6-4164-BD0D-89F02A679C49},914.969765229133
1031,CC_PIT_E 10TH ST_S,0,0.0739726,M21PA,{B8983762-1C39-4EE0-AB41-87A1AB9EEB75},151.18978960546
1032,CC_PIT_E 14TH ST_P,0,0.4484639,M21PA,{14FE7D9F-4904-4459-9D7E-D063B20D5810},916.543458297434
1033,CC_PIT_E LELAND RD_P,0,1.9756897,M21PA,{B90F4EEA-A8D7-4876-802E-DF916468EFE1},4036.79570172991
1034,CC_PIT_E LELAND RD_S,0,1.9756897,M21PA,{CBB577A6-61F0-45F0-B6E7-F6802F09F994},4036.79450206014
1035,CC_PIT_PITTSBURG ANTIOCH HWY_P,0.7205407,3.2001721,M21PA,{D60E597A-E9D7-4459-818B-7870128DB10D},5066.84487207687
1036,CC_PIT_PITTSBURG ANTIOCH HWY_S,0,0.0760846,M21PA,{F9E933AE-429E-48A2-805B-C64FB3F172A9},155.457137893142
1037,CC_PIT_RAILROAD AVE_P,0,2.5625063,M21PA,{AF928B9F-DD52-4841-AD3F-7E3EDC071952},5237.07103670607
1038,CC_PIT_SOLARI ST_P,0,0.38555,M21PA,{0E6DB826-1C11-4824-8233-05781F4EBD04},788.59075101976
1039,CC_PIT_W 10TH ST_P,0,0.3995013,M21PA,{A653F7F2-293A-44F1-B8F4-95FF67562FB8},816.483679868374
1040,CC_PIT_W 10TH ST_S,0,0.4025223,M21PA,{822C6519-6964-4571-BAC5-1772D77AC32A},822.664324161859
1041,CC_PIT_W LELAND RD_P,1.3631954,4.8295631,M21PA,{C15318BE-3C74-42FF-BB5B-4391BC3ACD7D},7083.26668521144
1042,CC_PIT_WILLOW PASS RD_P,0.0787308,4.2674425,M21PA,{AEB5D731-473E-4B6C-82F3-F824CCEAEB77},8560.77846231527
1043,CC_PIT_WILLOW PASS RD_S,0,0.2547446,M21PA,{BA20A0D5-3D72-4B75-ADD8-EDE91F6D00CD},520.74925143398
1044,CC_PLHL_CONCORD AVE_P,0,1.7202826,M21PA,{B460B7B2-B953-46D4-87CC-D3328BEA080B},3513.8746169338
1045,CC_PLHL_CONCORD AVE_S,0,1.7341761,M21PA,{9A83F381-EF65-4F16-8D6D-630CDAB13A82},3542.28528019443
1046,CC_PLHL_MONUMENT BLVD_P,0,2.4924039,M21PA,{F297F0C8-FCD7-47A6-8368-221A0C75B46E},5091.26584159595
1047,CC_PLHL_MONUMENT BLVD_S,0,0.2667514,M21PA,{433EADDC-FE16-4F3F-B2FA-6C7821DB324E},544.544340294204
1048,CC_PLHL_MONUMENT BLVD_S,0.4499276,1.0918225,M21PA,{A571A294-FA05-46AC-A160-954A21D838FE},1313.96803460514
1049,CC_PLHL_MONUMENT BLVD_S,0.2677514,0.4489276,M21PA,{BF64D647-CDAC-4EB9-94D8-3E5D7A0AC4FB},372.114468663376
1050,CC_PLHL_SUN VALLEY BLVD_P,0,0.3399174,M21PA,{7C19C34E-DBE7-43D6-94E6-7025BFA1C12A},694.368584941088
1051,CC_PLHL_SUN VALLEY BLVD_S,0,0.3337845,M21PA,{61F58C39-7C68-4FF1-A3A7-2B757BF99624},681.841594374561
1052,CC_PLHL_WILLOW PASS RD_P,0,5.0922158,M21PA,{6F6EDA44-03BE-4ED0-A215-3B13DD74C02F},10406.2489889858
1053,CC_PLHL_WILLOW PASS RD_S,1.7814516,1.9724868,M21PA,{93B9ACDE-19F2-4ABA-9BBE-61944E92F6BF},392.097298888243
