Geo_FIPS,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_PUMA5,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A12002_001,SE_A12002_002,SE_A12002_003,SE_A12002_004,SE_A12002_005,SE_A12002_006,SE_A12002_007,SE_A12002_008,PCT_SE_A12002_002,PCT_SE_A12002_003,PCT_SE_A12002_004,PCT_SE_A12002_005,PCT_SE_A12002_006,PCT_SE_A12002_007,PCT_SE_A12002_008
"06037620400","Census Tract 6204, Los Angeles County, California","ca","140","00",,,,"06","037",,,"620400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 6204",,,,3575,27,192,582,1520,861,345,48,0.76,5.37,16.28,42.52,24.08,9.65,1.34
"06037620501","Census Tract 6205.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"620501",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 6205.01",,,,4099,186,498,556,1668,998,92,101,4.54,12.15,13.56,40.69,24.35,2.24,2.46
"06037620521","Census Tract 6205.21, Los Angeles County, California","ca","140","00",,,,"06","037",,,"620521",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 6205.21",,,,3059,212,392,838,1120,359,85,53,6.93,12.81,27.39,36.61,11.74,2.78,1.73
"06037620522","Census Tract 6205.22, Los Angeles County, California","ca","140","00",,,,"06","037",,,"620522",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 6205.22",,,,3297,87,413,670,1209,585,202,131,2.64,12.53,20.32,36.67,17.74,6.13,3.97
"06037620601","Census Tract 6206.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"620601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 6206.01",,,,3958,268,442,1083,1625,385,111,44,6.77,11.17,27.36,41.06,9.73,2.8,1.11
"06037620602","Census Tract 6206.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"620602",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 6206.02",,,,4027,240,544,1102,1458,548,103,32,5.96,13.51,27.37,36.21,13.61,2.56,0.79
"06037620701","Census Tract 6207.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"620701",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 6207.01",,,,5482,53,692,857,2378,1225,102,175,0.97,12.62,15.63,43.38,22.35,1.86,3.19
"06037620703","Census Tract 6207.03, Los Angeles County, California","ca","140","00",,,,"06","037",,,"620703",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 6207.03",,,,2441,42,118,456,1401,258,103,63,1.72,4.83,18.68,57.39,10.57,4.22,2.58
"06037620704","Census Tract 6207.04, Los Angeles County, California","ca","140","00",,,,"06","037",,,"620704",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 6207.04",,,,2437,28,392,466,1021,365,83,82,1.15,16.09,19.12,41.9,14.98,3.41,3.36
"06037620801","Census Tract 6208.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"620801",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 6208.01",,,,2692,75,185,431,879,634,266,222,2.79,6.87,16.01,32.65,23.55,9.88,8.25
"06037620802","Census Tract 6208.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"620802",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 6208.02",,,,2671,36,106,475,1112,413,209,320,1.35,3.97,17.78,41.63,15.46,7.82,11.98
"06037620901","Census Tract 6209.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"620901",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 6209.01",,,,1852,12,104,211,836,466,170,53,0.65,5.62,11.39,45.14,25.16,9.18,2.86
