Geo_FIPS,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_PUMA5,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A12002A_001,SE_A12002A_002,SE_A12002A_003,SE_A12002A_004,SE_A12002A_005,SE_A12002A_006,SE_A12002A_007,SE_A12002A_008,PCT_SE_A12002A_002,PCT_SE_A12002A_003,PCT_SE_A12002A_004,PCT_SE_A12002A_005,PCT_SE_A12002A_006,PCT_SE_A12002A_007,PCT_SE_A12002A_008
"06037400602","Census Tract 4006.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"400602",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 4006.02",,,,1916,426,521,642,154,135,9,29,22.23,27.19,33.51,8.04,7.05,0.47,1.51
"06037400603","Census Tract 4006.03, Los Angeles County, California","ca","140","00",,,,"06","037",,,"400603",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 4006.03",,,,1828,108,524,487,419,183,87,20,5.91,28.67,26.64,22.92,10.01,4.76,1.09
"06037400605","Census Tract 4006.05, Los Angeles County, California","ca","140","00",,,,"06","037",,,"400605",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 4006.05",,,,2115,73,349,754,514,220,124,81,3.45,16.5,35.65,24.3,10.4,5.86,3.83
"06037400801","Census Tract 4008.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"400801",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 4008.01",,,,2138,90,363,906,381,315,55,28,4.21,16.98,42.38,17.82,14.73,2.57,1.31
"06037401001","Census Tract 4010.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"401001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 4010.01",,,,877,34,126,225,283,147,55,7,3.88,14.37,25.66,32.27,16.76,6.27,0.8
"06037401002","Census Tract 4010.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"401002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 4010.02",,,,1489,68,375,496,318,146,49,37,4.57,25.18,33.31,21.36,9.81,3.29,2.48
"06037401101","Census Tract 4011.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"401101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 4011.01",,,,1839,165,406,609,477,138,8,36,8.97,22.08,33.12,25.94,7.5,0.44,1.96
"06037401102","Census Tract 4011.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"401102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 4011.02",,,,1305,85,400,444,253,113,10,0,6.51,30.65,34.02,19.39,8.66,0.77,0
"06037401201","Census Tract 4012.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"401201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 4012.01",,,,1025,31,301,236,352,71,23,11,3.02,29.37,23.02,34.34,6.93,2.24,1.07
"06037401202","Census Tract 4012.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"401202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 4012.02",,,,1282,167,194,534,317,41,5,24,13.03,15.13,41.65,24.73,3.2,0.39,1.87
